time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-04-13T08:08:52.630Z,17.9583,-66.827,10,2.51,md,20,185,0.2175,0.08,pr,pr2021103002,2021-04-13T08:37:58.953Z,"4 km SSW of Indios, Puerto Rico",earthquake,0.39,0.53,0.21,14,reviewed,pr,pr
2021-04-13T07:40:52.872Z,-7.4973,128.5177,160.6,4.5,mb,,61,2.798,1.16,us,us6000e15r,2021-04-13T08:47:14.040Z,"202 km NE of Lospalos, Timor Leste",earthquake,9.3,8.3,0.108,25,reviewed,us,us
2021-04-13T06:52:29.617Z,56.2138,-156.5669,35,2.6,ml,,,,0.74,ak,ak0214qg8jzr,2021-04-13T07:02:19.213Z,"114 km E of Chignik, Alaska",earthquake,,12.1,,,automatic,ak,ak
2021-04-13T06:08:33.073Z,58.5117,-153.6381,4.8,2.7,ml,,,,1.04,ak,ak0214qfz4uc,2021-04-13T06:19:54.269Z,"66 km NW of Aleneva, Alaska",earthquake,,0.4,,,automatic,ak,ak
2021-04-13T06:06:00.858Z,0.0807,-17.3932,10,5.1,mb,,41,8.515,0.84,us,us6000e159,2021-04-13T06:25:55.040Z,"north of Ascension Island",earthquake,9.3,1.9,0.041,188,reviewed,us,us
2021-04-13T05:42:49.940Z,36.5115,70.8717,180.85,4.5,mb,,42,2.467,1.08,us,us6000e156,2021-04-13T06:09:42.713Z,"39 km S of Jurm, Afghanistan",earthquake,7.5,7,0.06,82,reviewed,us,us
2021-04-13T04:41:23.350Z,18.8995,-66.6953,43,3.04,md,21,257,0.4538,0.2,pr,pr2021103000,2021-04-13T05:41:24.920Z,"47 km NNE of Carrizales, Puerto Rico",earthquake,0.89,2.24,0.08,15,reviewed,pr,pr
2021-04-13T04:28:06.768Z,36.1094,68.0208,32.54,4.3,mb,,100,1.774,0.62,us,us6000e14s,2021-04-13T05:00:46.040Z,"17 km S of Aībak, Afghanistan",earthquake,5.6,6.1,0.129,17,reviewed,us,us
2021-04-13T02:20:07.039Z,-37.2053,176.6406,268.24,4.3,mb,,101,1.047,0.46,us,us6000e14f,2021-04-13T04:28:20.040Z,"North Island of New Zealand",earthquake,10.2,8.1,0.187,8,reviewed,us,us
2021-04-13T01:25:47.652Z,56.744,-156.3745,71.7,2.7,ml,,,,0.41,ak,ak0214qd3n1m,2021-04-13T04:23:38.040Z,"105 km SE of Ugashik, Alaska",earthquake,,1,,,automatic,ak,ak
2021-04-12T22:44:32.856Z,-22.7448,172.1413,10,5.2,mww,,75,5.276,1.11,us,us6000e13e,2021-04-12T23:01:10.040Z,"southeast of the Loyalty Islands",earthquake,9.1,1.8,0.098,10,reviewed,us,us
2021-04-12T22:19:24.270Z,18.6713,-67.5841,4,3.61,md,25,185,0.3054,0.54,pr,pr2021102007,2021-04-12T22:48:14.602Z,"50 km NW of Rincón, Puerto Rico",earthquake,1.23,1.39,0.08,24,reviewed,pr,pr
2021-04-12T22:05:43.280Z,36.29733333,-98.17833333,7.92,2.62,ml,100,27,0,0.19,ok,ok2021hefo,2021-04-12T22:29:49.885Z,"5 km N of Ames, Oklahoma",earthquake,,0.3,0.24,42,reviewed,ok,ok
2021-04-12T19:31:38.190Z,57.9369,-155.5992,107.7,2.6,ml,,,,0.78,ak,ak0214p0bd1h,2021-04-12T20:02:21.040Z,"79 km WNW of Karluk, Alaska",earthquake,,0.5,,,automatic,ak,ak
2021-04-12T17:59:58.564Z,31.67503677,-104.3900617,7.494091797,2.7,ml,27,56,0.09459944122,0.3,tx,tx2021hdxl,2021-04-12T19:37:05.356Z,"55 km S of Whites City, New Mexico",earthquake,1.091982576,1.463561667,0.1,15,reviewed,tx,tx
2021-04-12T16:41:31.795Z,44.2606,-115.1902,10,2.5,ml,,68,0.165,1.21,us,us6000e110,2021-04-12T18:22:31.040Z,"20 km WNW of Stanley, Idaho",earthquake,1.7,2,0.065,36,reviewed,us,us
2021-04-12T14:01:47.934Z,29.3264,129.4801,10,5.1,mww,,101,2.332,0.54,us,us6000e0zk,2021-04-12T16:24:29.395Z,"106 km N of Naze, Japan",earthquake,3.1,1.8,0.075,17,reviewed,us,us
2021-04-12T11:38:02.479Z,56.9027,-154.9882,13.8,3.5,ml,,,,0.72,ak,ak0214ovlbed,2021-04-12T17:17:40.273Z,"50 km W of Akhiok, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2021-04-12T09:02:16.920Z,17.8108,-68.0856,40,3.35,md,10,229,0.7628,0.21,pr,pr2021102004,2021-04-12T09:35:08.837Z,"83 km SE of Boca de Yuma, Dominican Republic",earthquake,1.42,4.65,0.1,6,reviewed,pr,pr
2021-04-12T06:20:22.175Z,31.73239965,-104.5931127,5.643115234,3.1,ml,34,83,0.07011539623,0.3,tx,tx2021hdaj,2021-04-12T15:39:54.213Z,"53 km SSW of Whites City, New Mexico",earthquake,2.901841367,1.501828388,0.2,19,reviewed,tx,tx
